data name: kinship
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
354	1.74	0.880	0.808	0.946	0.986	1.71	0.884	0.817	0.946	0.989
357	1.72	0.878	0.804	0.946	0.989	1.71	0.884	0.817	0.946	0.989
360	1.72	0.879	0.806	0.945	0.987	1.71	0.884	0.817	0.946	0.989
363	1.72	0.879	0.806	0.943	0.986	1.71	0.884	0.817	0.946	0.989
366	1.74	0.878	0.806	0.943	0.985	1.71	0.884	0.817	0.946	0.989
369	1.74	0.875	0.801	0.938	0.989	1.71	0.884	0.817	0.946	0.989
372	1.75	0.877	0.805	0.939	0.988	1.71	0.884	0.817	0.946	0.989
375	1.76	0.875	0.800	0.942	0.987	1.71	0.884	0.817	0.946	0.989
378	1.78	0.875	0.801	0.940	0.986	1.71	0.884	0.817	0.946	0.989
381	1.76	0.876	0.801	0.944	0.987	1.71	0.884	0.817	0.946	0.989
384	1.74	0.877	0.804	0.944	0.986	1.71	0.884	0.817	0.946	0.989
387	1.73	0.880	0.808	0.949	0.987	1.71	0.884	0.817	0.949	0.989
390	1.77	0.878	0.806	0.942	0.986	1.71	0.884	0.817	0.949	0.989
393	1.73	0.880	0.808	0.945	0.987	1.71	0.884	0.817	0.949	0.989
396	1.74	0.881	0.811	0.942	0.986	1.71	0.884	0.817	0.949	0.989
399	1.77	0.881	0.813	0.945	0.984	1.71	0.884	0.817	0.949	0.989
402	1.75	0.882	0.812	0.945	0.986	1.71	0.884	0.817	0.949	0.989
405	1.74	0.879	0.806	0.949	0.986	1.71	0.884	0.817	0.949	0.989
408	1.73	0.882	0.813	0.946	0.986	1.71	0.884	0.817	0.949	0.989
411	1.76	0.881	0.812	0.943	0.986	1.71	0.884	0.817	0.949	0.989
414	1.75	0.877	0.804	0.942	0.987	1.71	0.884	0.817	0.949	0.989
417	1.78	0.876	0.804	0.947	0.986	1.71	0.884	0.817	0.949	0.989
420	1.75	0.879	0.807	0.944	0.987	1.71	0.884	0.817	0.949	0.989
423	1.74	0.877	0.803	0.946	0.987	1.71	0.884	0.817	0.949	0.989
426	1.75	0.879	0.807	0.944	0.988	1.71	0.884	0.817	0.949	0.989
429	1.76	0.880	0.809	0.941	0.987	1.71	0.884	0.817	0.949	0.989
432	1.76	0.876	0.803	0.942	0.986	1.71	0.884	0.817	0.949	0.989
435	1.76	0.878	0.805	0.942	0.988	1.71	0.884	0.817	0.949	0.989
438	1.75	0.882	0.811	0.946	0.986	1.71	0.884	0.817	0.949	0.989
441	1.75	0.884	0.818	0.943	0.986	1.71	0.884	0.818	0.949	0.989
444	1.76	0.878	0.808	0.945	0.986	1.71	0.884	0.818	0.949	0.989
447	1.77	0.883	0.816	0.942	0.986	1.71	0.884	0.818	0.949	0.989
450	1.76	0.881	0.811	0.945	0.986	1.71	0.884	0.818	0.949	0.989
453	1.76	0.882	0.815	0.943	0.986	1.71	0.884	0.818	0.949	0.989
