data name: umls
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
288	1.16	0.974	0.960	0.986	0.995	1.16	0.979	0.967	0.992	0.995
291	1.16	0.975	0.962	0.988	0.995	1.16	0.979	0.967	0.992	0.995
294	1.14	0.976	0.962	0.989	0.997	1.14	0.979	0.967	0.992	0.997
297	1.15	0.972	0.955	0.989	0.998	1.14	0.979	0.967	0.992	0.998
300	1.12	0.977	0.962	0.990	0.998	1.12	0.979	0.967	0.992	0.998
303	1.14	0.976	0.963	0.986	0.997	1.12	0.979	0.967	0.992	0.998
306	1.14	0.976	0.964	0.988	0.996	1.12	0.979	0.967	0.992	0.998
309	1.14	0.975	0.960	0.987	0.998	1.12	0.979	0.967	0.992	0.998
312	1.14	0.974	0.961	0.986	0.997	1.12	0.979	0.967	0.992	0.998
315	1.16	0.970	0.954	0.983	0.996	1.12	0.979	0.967	0.992	0.998
318	1.23	0.970	0.955	0.984	0.992	1.12	0.979	0.967	0.992	0.998
321	1.19	0.973	0.959	0.985	0.995	1.12	0.979	0.967	0.992	0.998
324	1.14	0.973	0.958	0.987	0.996	1.12	0.979	0.967	0.992	0.998
327	1.26	0.970	0.955	0.983	0.994	1.12	0.979	0.967	0.992	0.998
330	1.23	0.972	0.956	0.984	0.995	1.12	0.979	0.967	0.992	0.998
333	1.17	0.975	0.962	0.986	0.995	1.12	0.979	0.967	0.992	0.998
336	1.17	0.973	0.956	0.987	0.997	1.12	0.979	0.967	0.992	0.998
339	1.15	0.975	0.960	0.990	0.996	1.12	0.979	0.967	0.992	0.998
342	1.18	0.970	0.952	0.984	0.996	1.12	0.979	0.967	0.992	0.998
345	1.16	0.974	0.958	0.988	0.995	1.12	0.979	0.967	0.992	0.998
348	1.16	0.973	0.958	0.986	0.997	1.12	0.979	0.967	0.992	0.998
351	1.16	0.974	0.958	0.989	0.996	1.12	0.979	0.967	0.992	0.998
354	1.13	0.975	0.961	0.986	0.996	1.12	0.979	0.967	0.992	0.998
357	1.17	0.969	0.951	0.984	0.995	1.12	0.979	0.967	0.992	0.998
360	1.17	0.974	0.961	0.986	0.994	1.12	0.979	0.967	0.992	0.998
363	1.15	0.974	0.959	0.987	0.997	1.12	0.979	0.967	0.992	0.998
366	1.19	0.970	0.955	0.983	0.995	1.12	0.979	0.967	0.992	0.998
369	1.19	0.973	0.959	0.984	0.994	1.12	0.979	0.967	0.992	0.998
372	1.14	0.976	0.961	0.989	0.995	1.12	0.979	0.967	0.992	0.998
375	1.18	0.973	0.959	0.983	0.996	1.12	0.979	0.967	0.992	0.998
378	1.18	0.973	0.958	0.986	0.995	1.12	0.979	0.967	0.992	0.998
381	1.18	0.975	0.961	0.989	0.995	1.12	0.979	0.967	0.992	0.998
384	1.19	0.974	0.958	0.990	0.995	1.12	0.979	0.967	0.992	0.998
387	1.19	0.974	0.962	0.985	0.995	1.12	0.979	0.967	0.992	0.998
390	1.18	0.973	0.958	0.986	0.995	1.12	0.979	0.967	0.992	0.998
393	1.23	0.971	0.955	0.983	0.995	1.12	0.979	0.967	0.992	0.998
396	1.20	0.973	0.958	0.986	0.994	1.12	0.979	0.967	0.992	0.998
399	1.17	0.972	0.955	0.986	0.995	1.12	0.979	0.967	0.992	0.998
402	1.17	0.972	0.956	0.986	0.995	1.12	0.979	0.967	0.992	0.998
405	1.19	0.971	0.956	0.983	0.994	1.12	0.979	0.967	0.992	0.998
408	1.21	0.971	0.956	0.981	0.996	1.12	0.979	0.967	0.992	0.998
411	1.21	0.970	0.956	0.980	0.996	1.12	0.979	0.967	0.992	0.998
414	1.23	0.967	0.951	0.979	0.995	1.12	0.979	0.967	0.992	0.998
417	1.18	0.972	0.958	0.983	0.997	1.12	0.979	0.967	0.992	0.998
420	1.19	0.970	0.954	0.983	0.996	1.12	0.979	0.967	0.992	0.998
423	1.23	0.973	0.960	0.983	0.994	1.12	0.979	0.967	0.992	0.998
426	1.21	0.972	0.958	0.982	0.994	1.12	0.979	0.967	0.992	0.998
429	1.21	0.974	0.960	0.984	0.994	1.12	0.979	0.967	0.992	0.998
432	1.18	0.975	0.961	0.986	0.995	1.12	0.979	0.967	0.992	0.998
435	1.20	0.975	0.961	0.987	0.995	1.12	0.979	0.967	0.992	0.998
438	1.22	0.972	0.957	0.986	0.995	1.12	0.979	0.967	0.992	0.998
441	1.20	0.973	0.959	0.985	0.995	1.12	0.979	0.967	0.992	0.998
